h3,lst_c,green_pct
892830ce07bffff,48.51,1.56
892830ce083ffff,47.74,16.33
892830ce087ffff,49.62,10.73
892830ce08bffff,47.27,17.22
892830ce08fffff,48.84,13.54
892830ce093ffff,48.58,12.79
892830ce097ffff,49.61,14.38
892830ce09bffff,47.65,11.16
892830ce0a3ffff,47.91,14.86
892830ce0a7ffff,46.88,12.67
892830ce0abffff,46.76,20.45
892830ce0afffff,48.1,5.39
892830ce0b3ffff,49.05,11.72
892830ce0b7ffff,49.45,12.02
892830ce0bbffff,47.14,16.83
892830ce0c3ffff,48.79,12.95
892830ce0c7ffff,48.4,15.77
892830ce0cfffff,48.29,13.08
892830ce0d3ffff,49.88,2.94
892830ce0d7ffff,49.51,8.58
892830ce0dbffff,49.33,9.51
892830ce103ffff,47.34,8.42
892830ce107ffff,48.05,15.25
892830ce10bffff,46.16,9.32
892830ce10fffff,45.6,7.97
892830ce113ffff,48.57,11.99
892830ce117ffff,48.69,13.14
892830ce11bffff,47.37,5.75
892830ce123ffff,46.82,15.41
892830ce127ffff,45.98,15.18
892830ce12bffff,45.48,14.7
892830ce12fffff,45.49,12.24
892830ce133ffff,48.2,13.42
892830ce137ffff,47.41,11.34
892830ce13bffff,46.41,11.03
892830ce143ffff,46.36,17.03
892830ce147ffff,45.68,11.42
892830ce14bffff,45.67,16.9
892830ce14fffff,45.41,12.37
892830ce153ffff,46.04,2.42
892830ce157ffff,46.47,4.3
892830ce15bffff,46.45,14.45
892830ce163ffff,45.54,15.79
892830ce167ffff,43.49,21.7
892830ce16bffff,44.7,7.54
892830ce16fffff,45.36,9.44
892830ce173ffff,46.89,15.11
892830ce177ffff,44.12,22.37
892830ce17bffff,46.27,9.38
892830ce183ffff,49.75,9.37
892830ce187ffff,48.38,16.29
892830ce18bffff,50.17,5.77
892830ce18fffff,48.87,12.69
892830ce193ffff,49.23,8.95
892830ce197ffff,49.73,13.67
892830ce19bffff,49.68,10.73
892830ce1a3ffff,48.92,12.28
892830ce1a7ffff,48.72,11.82
892830ce1abffff,48.81,12.65
892830ce1afffff,48.21,13.13
892830ce1b3ffff,48.13,14.14
892830ce1b7ffff,48.96,12.81
892830ce1bbffff,48.2,18.33
892830ce1c3ffff,47.38,17.89
892830ce1c7ffff,47.07,19.25
892830ce1cbffff,46.59,16.43
892830ce1cfffff,46.91,8.35
892830ce1d3ffff,45.6,13.54
892830ce1d7ffff,48.95,10.46
892830ce1dbffff,47.75,13.79
892830ce203ffff,40.88,20.37
892830ce207ffff,43.89,3.59
892830ce20fffff,39.24,23.06
892830ce213ffff,44.62,9.23
892830ce217ffff,45.91,4.6
892830ce223ffff,40.68,16.87
892830ce227ffff,41.97,0.0
892830ce22bffff,34.93,1.86
892830ce22fffff,33.58,0.0
892830ce233ffff,42.58,10.45
892830ce237ffff,43.73,0.0
892830ce23bffff,40.84,13.2
892830ce263ffff,24.43,0.0
892830ce267ffff,24.45,0.0
892830ce26fffff,23.59,0.0
892830ce273ffff,30.64,42.17
892830ce277ffff,34.36,17.79
892830ce283ffff,47.36,6.6
892830ce287ffff,46.61,5.01
892830ce28fffff,46.24,11.61
892830ce293ffff,48.27,6.72
892830ce297ffff,45.82,5.42
892830ce29bffff,48.87,6.47
892830ce2a3ffff,45.89,11.49
892830ce2a7ffff,47.28,5.4
892830ce2abffff,44.34,9.7
892830ce2afffff,46.28,7.59
892830ce2b3ffff,45.15,10.12
892830ce2b7ffff,47.03,7.8
892830ce2bbffff,46.1,8.11
892830ce303ffff,41.52,0.0
892830ce307ffff,42.8,4.83
892830ce30bffff,38.13,0.0
892830ce30fffff,33.46,0.0
892830ce313ffff,45.55,0.0
892830ce317ffff,43.91,0.09
892830ce31bffff,43.07,0.0
892830ce323ffff,29.75,0.0
892830ce327ffff,29.14,0.0
892830ce32bffff,28.96,41.06
892830ce32fffff,27.48,42.32
892830ce333ffff,41.3,4.82
892830ce337ffff,42.63,8.29
892830ce33bffff,29.7,0.0
892830ce343ffff,31.03,0.0
892830ce347ffff,25.86,0.0
892830ce34bffff,24.28,0.0
892830ce34fffff,26.01,13.08
892830ce353ffff,41.46,0.0
892830ce357ffff,40.37,0.52
892830ce35bffff,37.68,0.0
892830ce363ffff,31.25,38.66
892830ce367ffff,31.24,35.68
892830ce36bffff,29.74,39.47
892830ce36fffff,30.24,36.34
892830ce373ffff,26.62,8.7
892830ce377ffff,28.26,37.73
892830ce37bffff,29.75,44.37
892830ce383ffff,46.5,11.4
892830ce387ffff,44.91,20.95
892830ce38bffff,46.99,8.79
892830ce38fffff,44.83,3.54
892830ce393ffff,47.07,8.94
892830ce397ffff,45.31,19.27
892830ce39bffff,46.12,11.55
892830ce3a3ffff,44.97,10.1
892830ce3a7ffff,44.47,10.42
892830ce3abffff,44.32,1.84
892830ce3afffff,42.97,9.52
892830ce3b3ffff,43.86,23.39
892830ce3b7ffff,44.4,17.01
892830ce3bbffff,45.6,10.54
892830ce3c3ffff,45.48,6.11
892830ce3c7ffff,45.24,1.24
892830ce3cbffff,43.61,4.33
892830ce3cfffff,42.81,0.23
892830ce3d3ffff,47.63,5.91
892830ce3d7ffff,47.12,8.3
892830ce3dbffff,45.33,0.43
892830ce407ffff,45.02,8.97
892830ce40bffff,47.05,8.36
892830ce40fffff,43.75,9.19
892830ce423ffff,47.19,9.09
892830ce427ffff,48.68,10.33
892830ce42bffff,46.33,10.09
892830ce42fffff,49.0,13.44
892830ce433ffff,46.06,8.54
892830ce43bffff,44.94,9.15
892830ce463ffff,48.91,8.99
892830ce467ffff,49.02,6.98
892830ce46bffff,49.82,5.66
892830ce46fffff,49.73,7.18
892830ce473ffff,46.25,9.13
892830ce477ffff,45.81,9.82
892830ce47bffff,48.62,11.23
892830ce503ffff,48.6,16.17
892830ce507ffff,46.26,20.97
892830ce50bffff,48.91,16.18
892830ce50fffff,48.98,18.93
892830ce517ffff,46.43,10.15
892830ce51bffff,49.26,13.74
892830ce523ffff,47.54,17.61
892830ce527ffff,49.04,17.52
892830ce52bffff,47.72,20.02
892830ce52fffff,49.14,15.3
892830ce533ffff,45.19,23.77
892830ce537ffff,47.72,18.42
892830ce53bffff,44.86,26.04
892830ce543ffff,49.95,15.85
892830ce547ffff,48.56,19.42
892830ce54bffff,49.0,15.7
892830ce54fffff,49.37,13.52
892830ce553ffff,49.7,15.07
892830ce557ffff,49.11,16.77
892830ce55bffff,49.75,15.95
892830ce563ffff,46.39,23.76
892830ce567ffff,47.54,21.59
892830ce56bffff,48.57,14.91
892830ce56fffff,47.16,21.78
892830ce573ffff,47.63,15.82
892830ce577ffff,43.15,32.48
892830ce57bffff,48.73,13.33
892830ce587ffff,45.06,10.56
892830ce58fffff,49.07,8.71
892830ce5a3ffff,50.88,8.32
892830ce5a7ffff,47.72,8.16
892830ce5abffff,46.88,20.53
892830ce5afffff,48.66,15.46
892830ce5b3ffff,49.97,9.72
892830ce5b7ffff,52.79,9.49
892830ce5bbffff,46.18,11.47
892830ce5cfffff,48.19,9.78
892830ce663ffff,47.26,8.88
892830ce667ffff,47.48,11.52
892830ce66fffff,47.32,4.01
892830ce6a3ffff,49.72,5.54
892830ce6a7ffff,50.19,7.72
892830ce6abffff,46.43,8.88
892830ce6afffff,48.1,6.1
892830ce6b7ffff,49.24,9.1
892830ce803ffff,22.61,0.0
892830ce813ffff,23.82,0.0
892830ce817ffff,22.84,0.0
892830ce81bffff,22.7,0.0
892830ce853ffff,22.63,0.0
892830ce883ffff,31.75,25.31
892830ce887ffff,30.57,21.72
892830ce88bffff,29.54,16.84
892830ce88fffff,28.47,16.64
892830ce893ffff,35.69,22.99
892830ce897ffff,36.6,20.29
892830ce89bffff,33.14,25.09
892830ce8a3ffff,24.63,0.0
892830ce8a7ffff,22.94,0.0
