h3,land,land_frac,wc_code
892830cc5c7ffff,wetland,0.621,90
892830cc5cbffff,open water,0.477,80
892830cc5cfffff,open water,0.613,80
892830cc5d3ffff,wetland,0.989,90
892830cc5d7ffff,wetland,1.0,90
892830cc5dbffff,wetland,0.711,90
892830ce003ffff,woodland,0.432,10
892830ce007ffff,developed,0.779,50
892830ce00bffff,developed,0.819,50
892830ce00fffff,developed,0.604,50
892830ce013ffff,developed,0.85,50
892830ce017ffff,developed,0.769,50
892830ce01bffff,developed,0.636,50
892830ce023ffff,developed,0.72,50
892830ce027ffff,developed,0.637,50
892830ce02bffff,developed,0.907,50
892830ce02fffff,developed,0.801,50
892830ce033ffff,developed,0.775,50
892830ce037ffff,developed,0.704,50
892830ce03bffff,developed,0.939,50
892830ce043ffff,cropland,0.419,40
892830ce047ffff,developed,0.812,50
892830ce04bffff,cropland,0.605,40
892830ce04fffff,cropland,0.478,40
892830ce057ffff,developed,0.521,50
892830ce05bffff,developed,0.818,50
892830ce063ffff,developed,0.752,50
892830ce067ffff,developed,0.615,50
892830ce06bffff,developed,0.765,50
892830ce06fffff,grassland,0.372,30
892830ce073ffff,developed,0.844,50
892830ce077ffff,developed,0.752,50
892830ce07bffff,developed,0.795,50
892830ce083ffff,developed,0.796,50
892830ce087ffff,developed,0.94,50
892830ce08bffff,developed,0.623,50
892830ce08fffff,developed,0.835,50
892830ce093ffff,developed,0.969,50
892830ce097ffff,developed,0.868,50
892830ce09bffff,developed,0.914,50
892830ce0a3ffff,developed,0.812,50
892830ce0a7ffff,developed,0.912,50
892830ce0abffff,developed,0.717,50
892830ce0afffff,developed,0.82,50
892830ce0b3ffff,developed,0.829,50
892830ce0b7ffff,developed,0.825,50
892830ce0bbffff,developed,0.818,50
892830ce0c3ffff,developed,0.795,50
892830ce0c7ffff,developed,0.894,50
892830ce0cfffff,developed,0.468,50
892830ce0d3ffff,bare ground,0.66,60
892830ce0d7ffff,developed,0.456,50
892830ce0dbffff,developed,0.372,50
892830ce103ffff,developed,0.879,50
892830ce107ffff,developed,0.854,50
892830ce10bffff,developed,0.86,50
892830ce10fffff,developed,0.765,50
892830ce113ffff,developed,0.783,50
892830ce117ffff,developed,0.928,50
892830ce11bffff,developed,0.903,50
892830ce123ffff,developed,0.941,50
892830ce127ffff,developed,0.854,50
892830ce12bffff,developed,0.946,50
892830ce12fffff,developed,0.989,50
892830ce133ffff,developed,0.969,50
892830ce137ffff,developed,0.718,50
892830ce13bffff,developed,0.938,50
892830ce143ffff,developed,0.857,50
892830ce147ffff,developed,0.854,50
892830ce14bffff,developed,0.783,50
892830ce14fffff,developed,0.84,50
892830ce153ffff,developed,0.915,50
892830ce157ffff,developed,0.786,50
892830ce15bffff,developed,0.8,50
892830ce163ffff,developed,0.693,50
892830ce167ffff,woodland,0.472,10
892830ce16bffff,developed,0.836,50
892830ce16fffff,developed,0.89,50
892830ce173ffff,developed,0.858,50
892830ce177ffff,developed,0.431,50
892830ce17bffff,developed,0.954,50
892830ce183ffff,developed,0.895,50
