id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
237,310,310,36.8,36.8,24,24,86.9,86.9,0
238,311,311,36.7,36.7,115,115,86.9,86.9,0
344,312,312,36.6,36.6,107,107,91.47,91.47,0
390,313,313,36.5,36.5,193,193,92.7,92.7,0
422,314,314,36.3,36.3,356,356,92.46,92.46,0
278,315,315,36.0,36.0,43,43,87.7,87.7,0
251,316,316,35.9,35.9,48,48,91.3,91.3,0
473,317,317,35.5,35.5,325,325,93.6,93.6,0
534,318,318,35.0,35.0,241,241,92.7,92.7,0
372,319,319,34.9,34.9,630,630,81.11,81.11,0
482,320,320,34.8,34.8,180,180,90.23,90.23,0
298,321,321,34.8,34.8,105,105,87.56,87.56,0
375,322,322,34.6,34.6,44,44,84.71,84.71,0
103,323,323,34.3,34.3,109,109,84.9,84.9,0
289,324,324,34.1,34.1,111,111,92.9,92.9,0
181,325,325,34.0,34.0,273,273,99.5,99.5,0
233,326,326,34.0,34.0,95,95,86.9,86.9,0
467,327,327,33.9,33.9,118,118,94.07,94.07,0
499,328,328,33.7,33.7,68,68,92.7,92.7,0
49,329,329,33.5,33.5,218,218,99.3,99.3,0
463,330,330,33.4,33.4,456,456,93.5,93.5,0
318,331,331,33.3,33.3,51,51,99.3,99.3,0
260,332,332,33.0,33.0,185,185,85.16,85.16,0
267,333,333,32.7,32.7,96,96,86.9,86.9,0
455,334,334,32.6,32.6,198,198,93.8,93.8,0
417,335,335,32.3,32.3,19,19,86.9,86.9,0
243,336,336,32.3,32.3,143,143,92.84,92.84,0
60,337,337,32.2,32.2,256,256,99.09,99.09,0
229,338,338,32.2,32.2,89,89,91.22,91.22,0
72,339,339,32.1,32.1,227,227,84.9,84.9,0
270,340,340,32.0,32.0,291,291,91.3,91.3,0
456,341,341,31.6,31.6,266,266,93.8,93.8,0
176,342,342,31.5,31.5,177,177,98.4,98.4,0
511,343,343,31.5,31.5,142,142,84.1,84.1,0
65,344,344,31.2,31.2,53,53,100.0,100.0,0
107,345,345,30.7,30.7,72,72,84.21,84.21,0
389,346,346,30.7,30.7,176,176,83.24,83.24,0
61,347,347,30.5,30.5,204,204,99.3,99.3,0
391,348,348,30.0,30.0,35,35,92.7,92.7,0
508,349,349,30.0,30.0,61,61,92.7,92.7,0
264,350,350,29.7,29.7,108,108,86.9,86.9,0
419,351,351,29.6,29.6,81,81,89.5,89.5,0
230,352,352,29.5,29.5,153,153,86.9,86.9,0
236,353,353,29.5,29.5,87,87,86.9,86.9,0
368,354,354,29.5,29.5,210,210,93.32,93.32,0
257,355,355,29.5,29.5,213,213,86.9,86.9,0
223,356,356,29.3,29.3,156,156,87.6,87.6,0
247,357,357,29.0,29.0,156,156,91.3,91.3,0
407,358,358,28.9,28.9,260,260,87.62,87.62,0
438,359,359,28.1,28.1,135,135,92.7,92.7,0
360,360,360,27.5,27.5,79,79,80.9,80.9,0
362,361,361,27.5,27.5,210,210,80.9,80.9,0
411,362,362,27.4,27.4,213,213,89.35,89.35,0
437,363,363,27.0,27.0,32,32,92.7,92.7,0
469,364,364,26.4,26.4,154,154,99.3,99.3,0
371,365,365,26.4,26.4,187,187,93.8,93.8,0
392,366,366,26.2,26.2,140,140,83.86,83.86,0
506,367,367,26.1,26.1,29,29,92.7,92.7,0
484,368,368,25.7,25.7,68,68,93.8,93.8,0
421,369,369,25.7,25.7,60,60,88.71,88.71,0
240,370,370,25.6,25.6,81,81,91.3,91.3,0
458,371,371,25.5,25.5,60,60,91.3,91.3,0
122,372,372,25.2,25.2,136,136,84.9,84.9,0
59,373,373,25.0,25.0,207,207,99.3,99.3,0
378,374,374,24.8,24.8,340,340,82.33,82.33,0
471,375,375,24.8,24.8,222,222,93.8,93.8,0
234,376,376,24.6,24.6,147,147,86.9,86.9,0
429,377,377,24.6,24.6,7,7,92.7,92.7,0
533,378,378,24.2,24.2,22,22,92.7,92.7,0
216,379,379,23.5,23.5,150,150,91.18,91.18,0
535,380,380,23.0,23.0,92,92,92.7,92.7,0
116,381,381,23.0,23.0,176,176,86.23,86.23,0
226,382,382,23.0,23.0,186,186,89.98,89.98,0
335,383,383,22.9,22.9,119,119,98.92,98.92,0
119,384,384,22.9,22.9,195,195,93.8,93.8,0
269,385,385,22.8,22.8,194,194,87.75,87.75,0
283,386,386,22.7,22.7,50,50,92.9,92.9,0
432,387,387,22.5,22.5,8,8,92.7,92.7,0
