h3,land,land_frac,wc_code
892830d702bffff,grassland,0.432,30
892830d702fffff,woodland,0.401,10
892830d7033ffff,developed,0.474,50
892830d7037ffff,developed,0.473,50
892830d703bffff,grassland,0.751,30
892830d7043ffff,grassland,0.386,30
892830d7047ffff,developed,0.579,50
892830d704bffff,grassland,0.69,30
892830d704fffff,grassland,0.467,30
892830d7053ffff,developed,0.658,50
892830d7057ffff,grassland,0.566,30
892830d705bffff,grassland,0.801,30
892830d7063ffff,woodland,0.338,10
892830d7067ffff,developed,0.366,50
892830d706bffff,developed,0.555,50
892830d706fffff,developed,0.414,50
892830d7073ffff,grassland,0.733,30
892830d7077ffff,developed,0.453,50
892830d707bffff,developed,0.578,50
892830d7083ffff,developed,0.429,50
892830d7087ffff,woodland,0.414,10
892830d708bffff,woodland,0.5,10
892830d708fffff,woodland,0.582,10
892830d7093ffff,developed,0.722,50
892830d7097ffff,developed,0.43,50
892830d709bffff,developed,0.485,50
892830d70a3ffff,woodland,0.513,10
892830d70a7ffff,woodland,0.568,10
892830d70abffff,developed,0.521,50
892830d70afffff,developed,0.552,50
892830d70b3ffff,developed,0.551,50
892830d70b7ffff,developed,0.516,50
892830d70bbffff,developed,0.478,50
892830d70c3ffff,developed,0.422,50
892830d70c7ffff,developed,0.47,50
892830d70cbffff,woodland,0.473,10
892830d70cfffff,developed,0.544,50
892830d70d3ffff,developed,0.471,50
892830d70d7ffff,grassland,0.6,30
892830d70dbffff,developed,0.499,50
892830d7107ffff,developed,0.658,50
892830d7113ffff,developed,0.463,50
892830d7117ffff,developed,0.892,50
892830d711bffff,developed,0.636,50
892830d7133ffff,developed,0.41,50
892830d7137ffff,grassland,0.64,30
892830d7153ffff,woodland,0.469,10
892830d7157ffff,woodland,0.652,10
892830d7183ffff,developed,0.712,50
892830d7187ffff,developed,0.673,50
892830d718bffff,developed,0.615,50
892830d718fffff,developed,0.698,50
892830d7193ffff,developed,0.635,50
892830d7197ffff,developed,0.531,50
892830d719bffff,developed,0.8,50
892830d71a3ffff,grassland,0.502,30
892830d71a7ffff,developed,0.385,50
892830d71abffff,grassland,0.539,30
892830d71afffff,grassland,0.878,30
892830d71b3ffff,developed,0.558,50
892830d71b7ffff,grassland,0.535,30
892830d71bbffff,developed,0.756,50
892830d71c3ffff,developed,0.871,50
892830d71c7ffff,developed,0.732,50
892830d71cbffff,developed,0.754,50
892830d71cfffff,developed,0.861,50
892830d71d3ffff,developed,0.826,50
892830d71d7ffff,developed,0.825,50
892830d71dbffff,developed,0.631,50
892830d7203ffff,developed,0.733,50
892830d7207ffff,grassland,0.687,30
892830d720bffff,woodland,0.441,10
892830d720fffff,developed,0.605,50
892830d7213ffff,developed,0.518,50
892830d7217ffff,grassland,0.763,30
892830d721bffff,developed,0.527,50
892830d7223ffff,grassland,1.0,30
892830d7233ffff,grassland,1.0,30
892830d723bffff,grassland,0.833,30
892830d7243ffff,grassland,0.985,30
892830d7253ffff,grassland,0.995,30
