h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8828301303fffff,Martinez SW 2,,27.8,2.22,0.0,routed,187.0,approach-review
8828301305fffff,Mountain View SW,,5.9,0.47,8292.0,routed,172.0,approach-review
8828301307fffff,Martinez S,,6.6,0.53,8123.0,routed,73.0,network-estimate
8828301309fffff,Alhambra Valley N 3,,33.3,2.66,1202.0,routed,95.0,network-estimate
882830130bfffff,Martinez SW 5,,45.4,3.63,1708.0,routed,141.0,approach-review
882830130dfffff,Mountain View SW 2,,19.5,1.56,6128.0,routed,175.0,approach-review
8828301311fffff,Martinez W 3,,36.0,2.88,0.0,routed,465.0,approach-review
8828301313fffff,Martinez W 5,,35.4,2.83,469.0,routed,290.0,approach-review
8828301315fffff,Martinez SW 3,,22.9,1.83,0.0,routed,243.0,approach-review
8828301317fffff,Martinez W 2,,22.5,1.8,0.0,routed,433.0,approach-review
8828301319fffff,Martinez SW 7,,50.6,4.05,1388.0,routed,277.0,approach-review
882830131bfffff,Martinez W 6,,51.9,4.16,817.0,routed,606.0,approach-review
882830131dfffff,Martinez SW 4,,36.7,2.93,2522.0,routed,152.0,approach-review
8828301321fffff,Mountain View E,,13.3,1.07,8660.0,routed,58.0,network-estimate
8828301323fffff,Mountain View N,,9.4,0.75,5998.0,routed,162.0,approach-review
8828301325fffff,Vine Hill W,,28.9,2.31,4945.0,routed,143.0,approach-review
8828301327fffff,Mountain View NE,,23.4,1.87,1975.0,routed,161.0,approach-review
8828301329fffff,Mountain View S,,1.2,0.09,8968.0,routed,44.0,network-estimate
882830132bfffff,Mountain View,,12.7,1.01,11683.0,routed,87.0,network-estimate
882830132dfffff,Mountain View SE,,24.9,1.99,8403.0,routed,144.0,approach-review
8828301331fffff,Martinez NW,,4.6,0.37,12075.0,routed,26.0,network-estimate
8828301333fffff,Martinez NW 2,,13.4,1.07,0.0,routed,363.0,approach-review
8828301335fffff,Martinez NE,,13.5,1.08,4270.0,routed,64.0,network-estimate
8828301337fffff,Martinez N,,19.9,1.59,1283.0,routed,211.0,approach-review
8828301339fffff,Martinez SW,,11.4,0.91,6786.0,routed,115.0,approach-review
882830133bfffff,Martinez W,,8.4,0.67,1935.0,routed,72.0,network-estimate
882830133dfffff,Martinez,,4.6,0.37,13890.0,routed,51.0,network-estimate
8828301341fffff,Alhambra Valley NW,,52.7,4.22,2220.0,routed,215.0,approach-review
8828301343fffff,Alhambra Valley NW 2,,47.9,3.83,189.0,routed,430.0,approach-review
8828301345fffff,Alhambra Valley N,,40.7,3.25,3124.0,routed,174.0,approach-review
8828301347fffff,Alhambra Valley N 2,,37.9,3.04,620.0,routed,237.0,approach-review
8828301349fffff,Alhambra Valley W,,58.5,4.68,3792.0,routed,122.0,approach-review
