h3,pop,pct65,income,ac_est,ac_src,occupied,ac_homes,ac_covered_homes,ac_coverage,acs_year
8828308d15fffff,2350.0,17.36,111969.07941794877,53.97,lace,839.6353240454089,453.16613119030336,839.6353240454089,1.0,2024
8828308d17fffff,1721.0,28.35,106519.20826581055,57.6,lace,623.3058369836887,359.0241621026047,623.3058369836887,1.0,2024
8828308d19fffff,573.0,19.16,103331.45609844105,59.46,lace,213.2444039727805,126.79513328716033,213.2444039727805,1.0,2024
8828308d1bfffff,1247.0,20.86,108995.93741901533,56.16,lace,437.36663254042185,245.622650320896,437.36663254042185,1.0,2024
8828308d1dfffff,1826.0,14.15,101424.47320975424,58.29,lace,627.31290254278,365.63435533016406,627.31290254278,1.0,2024
8828308d21fffff,357.0,26.68,137999.77079126725,72.74,lace,110.91962684909717,80.68319647689756,110.91962684909717,1.0,2024
8828308d23fffff,618.0,28.31,130681.55870492407,64.96,lace,207.28365710018673,134.6481613447028,207.28365710018673,1.0,2024
8828308d25fffff,234.0,40.06,126473.56736693763,63.07,lace,90.55152119646796,57.10759894967009,90.55152119646796,1.0,2024
8828308d27fffff,233.0,40.18,126375.0,63.0,lace,90.4247064896539,56.96756508848196,90.4247064896539,1.0,2024
8828308d29fffff,429.0,24.0,140652.97963246712,76.1,lace,126.98295079488435,96.634025554907,126.98295079488435,1.0,2024
8828308d2bfffff,605.0,26.86,137584.46612112338,73.79,lace,198.95074329226708,146.80429883790896,198.95074329226708,1.0,2024
8828308d2dfffff,395.0,24.22,140120.1477843171,75.06,lace,117.25410222870008,88.00736234532017,117.25410222870008,1.0,2024
8828308d31fffff,1127.0,19.97,135018.63327090527,62.37,lace,390.47858480154764,243.55186317607036,390.47858480154764,1.0,2024
8828308d33fffff,712.0,30.93,104337.638032646,61.36,lace,266.49425908612164,163.51182948621184,266.49425908612164,1.0,2024
8828308d35fffff,998.0,25.52,133660.50512863684,63.0,lace,339.0173385469586,213.58092328458395,339.0173385469586,1.0,2024
8828308d37fffff,1299.0,17.79,149505.7321604745,63.09,lace,445.6556506983395,281.15644375891196,445.6556506983395,1.0,2024
8828308d39fffff,963.0,20.55,153117.5095597616,61.27,lace,389.70612456670733,238.77940501563842,389.70612456670733,1.0,2024
8828308d3bfffff,936.0,19.91,127011.31026139623,60.8,lace,326.0032601537748,198.19813102255978,326.0032601537748,1.0,2024
8828308d3dfffff,799.0,19.43,133794.94978306862,64.67,lace,259.9474490667839,168.11627713497379,259.9474490667839,1.0,2024
8828308d41fffff,253.0,12.63,113595.1403479427,63.5,lace,78.65975982439714,49.94894748849218,78.65975982439714,1.0,2024
