h3,land,land_frac,wc_code
882830d8edfffff,grassland,0.825,30
882830d901fffff,cropland,0.426,40
882830d903fffff,cropland,0.532,40
882830d905fffff,open water,0.483,80
882830d907fffff,cropland,0.887,40
882830d909fffff,open water,0.406,80
882830d90bfffff,cropland,0.614,40
882830d90dfffff,open water,0.997,80
882830d911fffff,grassland,0.795,30
882830d913fffff,grassland,0.573,30
882830d915fffff,cropland,0.509,40
882830d917fffff,cropland,0.469,40
882830d919fffff,grassland,0.909,30
882830d91bfffff,grassland,0.485,30
882830d91dfffff,grassland,0.634,30
882830d929fffff,cropland,0.723,40
882830d92bfffff,cropland,0.522,40
882830d92dfffff,cropland,0.652,40
882830d931fffff,cropland,0.925,40
882830d933fffff,cropland,0.911,40
882830d935fffff,cropland,0.64,40
882830d937fffff,cropland,0.557,40
882830d939fffff,cropland,0.893,40
882830d93bfffff,cropland,0.801,40
882830d93dfffff,cropland,0.517,40
882830d941fffff,open water,1.0,80
882830d943fffff,open water,0.647,80
882830d945fffff,open water,1.0,80
882830d947fffff,open water,1.0,80
882830d949fffff,open water,0.948,80
882830d94bfffff,open water,0.491,80
882830d94dfffff,open water,0.827,80
882830d951fffff,grassland,0.954,30
882830d953fffff,cropland,0.51,40
882830d955fffff,grassland,0.727,30
882830d957fffff,grassland,0.785,30
882830d959fffff,cropland,0.689,40
882830d95bfffff,cropland,0.605,40
882830d95dfffff,grassland,0.676,30
882830d961fffff,cropland,0.416,40
882830d963fffff,open water,0.656,80
882830d965fffff,cropland,0.751,40
882830d967fffff,cropland,0.512,40
882830d969fffff,open water,0.94,80
882830d96bfffff,open water,1.0,80
882830d96dfffff,cropland,0.829,40
882830d981fffff,cropland,0.854,40
882830d983fffff,cropland,0.792,40
882830d985fffff,grassland,0.469,30
882830d987fffff,cropland,0.704,40
882830d989fffff,cropland,0.541,40
882830d98bfffff,cropland,0.708,40
882830d98dfffff,developed,0.422,50
882830d991fffff,cropland,0.657,40
882830d993fffff,cropland,0.919,40
882830d995fffff,cropland,0.569,40
882830d997fffff,cropland,0.922,40
882830d999fffff,grassland,0.331,30
882830d99bfffff,cropland,0.763,40
882830d99dfffff,cropland,0.634,40
882830d9a1fffff,grassland,0.573,30
882830d9a3fffff,developed,0.552,50
882830d9a5fffff,open water,0.497,80
882830d9a7fffff,grassland,0.576,30
882830d9a9fffff,developed,0.395,50
882830d9abfffff,developed,0.453,50
882830d9adfffff,developed,0.588,50
882830d9b1fffff,cropland,0.809,40
882830d9b3fffff,cropland,0.92,40
882830d9b5fffff,cropland,0.797,40
882830d9b7fffff,cropland,0.87,40
882830d9b9fffff,cropland,0.714,40
882830d9bbfffff,cropland,0.794,40
882830d9bdfffff,cropland,0.811,40
882830d9c1fffff,cropland,0.582,40
882830d9c3fffff,cropland,0.67,40
882830d9c5fffff,cropland,0.704,40
882830d9c7fffff,cropland,0.706,40
882830d9c9fffff,cropland,0.501,40
882830d9cbfffff,cropland,0.612,40
882830d9cdfffff,cropland,0.651,40
882830d9d1fffff,woodland,0.589,10
882830d9d3fffff,cropland,0.745,40
882830d9d5fffff,cropland,0.675,40
882830d9d7fffff,cropland,0.779,40
882830d9d9fffff,cropland,0.886,40
882830d9dbfffff,cropland,0.52,40
882830d9ddfffff,cropland,0.522,40
882830d9e1fffff,cropland,0.414,40
882830d9e3fffff,grassland,0.427,30
882830d9e5fffff,developed,0.314,50
882830d9e7fffff,developed,0.521,50
882830d9e9fffff,cropland,0.489,40
882830d9ebfffff,cropland,0.588,40
882830d9edfffff,cropland,0.608,40
882830da01fffff,grassland,0.998,30
882830da03fffff,grassland,0.992,30
882830da05fffff,grassland,0.987,30
882830da07fffff,grassland,0.99,30
882830da0bfffff,grassland,0.994,30
882830da11fffff,grassland,0.994,30
882830da13fffff,grassland,0.999,30
882830da15fffff,grassland,0.924,30
882830da17fffff,grassland,0.994,30
882830da19fffff,grassland,0.981,30
882830da1bfffff,grassland,0.994,30
882830da1dfffff,grassland,0.963,30
882830da21fffff,grassland,0.992,30
882830da23fffff,grassland,0.987,30
882830da25fffff,grassland,0.991,30
882830da27fffff,grassland,0.988,30
882830da29fffff,grassland,0.995,30
882830da2bfffff,grassland,0.996,30
882830da2dfffff,grassland,0.999,30
882830da31fffff,grassland,1.0,30
882830da33fffff,grassland,0.998,30
882830da35fffff,grassland,0.953,30
882830da37fffff,grassland,0.999,30
882830da39fffff,grassland,0.948,30
882830da3bfffff,grassland,0.981,30
882830da3dfffff,grassland,0.942,30
882830da53fffff,grassland,0.984,30
882830da57fffff,grassland,0.973,30
882830da81fffff,open water,0.99,80
882830da83fffff,open water,0.893,80
882830da85fffff,grassland,0.851,30
882830da87fffff,open water,0.615,80
882830da89fffff,open water,0.916,80
882830da8bfffff,open water,0.531,80
882830da8dfffff,grassland,0.578,30
882830da91fffff,grassland,0.94,30
882830da93fffff,grassland,0.965,30
882830da95fffff,grassland,0.86,30
882830da97fffff,grassland,0.999,30
882830da99fffff,grassland,0.456,30
882830da9bfffff,grassland,0.731,30
882830da9dfffff,grassland,0.687,30
882830daa1fffff,grassland,1.0,30
882830daa3fffff,grassland,0.961,30
882830daa5fffff,grassland,0.951,30
882830daa7fffff,grassland,0.958,30
882830daa9fffff,grassland,1.0,30
882830daabfffff,grassland,0.997,30
882830daadfffff,grassland,1.0,30
882830dab1fffff,grassland,0.854,30
882830dab3fffff,grassland,0.783,30
882830dab5fffff,grassland,0.921,30
882830dab7fffff,grassland,0.964,30
882830dab9fffff,grassland,0.821,30
882830dabbfffff,grassland,0.942,30
882830dabdfffff,grassland,0.88,30
882830dac1fffff,grassland,0.902,30
882830dac3fffff,open water,0.745,80
882830dac5fffff,grassland,0.996,30
882830dac7fffff,grassland,0.789,30
882830dac9fffff,grassland,0.999,30
882830dacbfffff,grassland,0.96,30
882830dacdfffff,grassland,0.994,30
882830dad1fffff,grassland,0.702,30
882830dad3fffff,grassland,0.525,30
882830dad5fffff,open water,1.0,80
882830dad7fffff,open water,0.739,80
882830dad9fffff,woodland,0.593,10
882830dadbfffff,grassland,0.506,30
882830daddfffff,grassland,0.605,30
882830dae1fffff,grassland,0.992,30
882830dae3fffff,grassland,0.996,30
882830dae5fffff,grassland,1.0,30
882830dae7fffff,grassland,1.0,30
882830dae9fffff,grassland,0.997,30
882830daebfffff,grassland,0.816,30
882830daedfffff,grassland,0.992,30
882830db03fffff,grassland,0.827,30
882830db07fffff,grassland,0.755,30
882830db11fffff,grassland,0.954,30
882830db13fffff,grassland,0.983,30
882830db15fffff,grassland,0.963,30
882830db17fffff,grassland,0.996,30
882830db19fffff,grassland,1.0,30
882830db1bfffff,grassland,0.999,30
882830db1dfffff,grassland,0.903,30
882830db21fffff,cropland,0.455,40
882830db23fffff,cropland,0.715,40
882830db25fffff,grassland,0.43,30
882830db27fffff,cropland,0.332,40
882830db2bfffff,cropland,0.597,40
882830db31fffff,grassland,0.838,30
882830db33fffff,grassland,0.661,30
882830db35fffff,grassland,0.434,30
882830db37fffff,grassland,0.53,30
882830db39fffff,grassland,0.85,30
882830db3bfffff,grassland,0.933,30
882830db3dfffff,grassland,0.624,30
882830db53fffff,grassland,1.0,30
882830db57fffff,grassland,0.915,30
8828346d85fffff,grassland,0.781,30
8828346d87fffff,grassland,0.815,30
8828346d95fffff,grassland,0.875,30
8828346d97fffff,grassland,0.927,30
8828346da1fffff,developed,0.442,50
8828346da3fffff,grassland,0.415,30
8828346da5fffff,developed,0.527,50
8828346da7fffff,developed,0.624,50
8828346da9fffff,woodland,0.4,10
8828346dabfffff,grassland,0.528,30
8828346dadfffff,developed,0.77,50
8828346db1fffff,woodland,0.672,10
8828346db3fffff,woodland,0.604,10
8828346db5fffff,grassland,0.473,30
8828346db7fffff,grassland,0.559,30
8828346db9fffff,grassland,0.536,30
8828346dbbfffff,grassland,0.625,30
8828346dbdfffff,woodland,0.611,10
882836265bfffff,cropland,0.463,40
8828362681fffff,open water,0.488,80
8828362683fffff,open water,0.269,80
882836268bfffff,open water,0.471,80
8828362691fffff,cropland,0.938,40
8828362693fffff,cropland,1.0,40
8828362695fffff,cropland,0.332,40
8828362697fffff,cropland,0.758,40
8828362699fffff,cropland,0.963,40
882836269bfffff,cropland,0.907,40
882836269dfffff,cropland,0.625,40
88283626b3fffff,open water,0.895,80
88283626b9fffff,open water,0.831,80
88283626bbfffff,cropland,0.378,40
88283626c3fffff,cropland,0.417,40
88283626c9fffff,grassland,0.3,30
88283626cbfffff,open water,0.569,80
88283626d1fffff,open water,1.0,80
88283626d3fffff,cropland,0.511,40
88283626d5fffff,open water,0.882,80
88283626d7fffff,cropland,0.603,40
88283626d9fffff,open water,1.0,80
88283626dbfffff,open water,0.961,80
88283626ddfffff,open water,0.978,80
8828363499fffff,cropland,0.744,40
882836349bfffff,open water,0.436,80
88283634d1fffff,cropland,0.354,40
88283634d3fffff,cropland,0.488,40
88283634d9fffff,cropland,0.346,40
88283634dbfffff,cropland,0.652,40
88283634ddfffff,cropland,0.744,40
8828363659fffff,cropland,0.444,40
882836365bfffff,cropland,0.513,40
8828363681fffff,cropland,0.52,40
8828363683fffff,cropland,0.805,40
8828363687fffff,cropland,0.403,40
8828363689fffff,cropland,0.687,40
882836368bfffff,cropland,0.817,40
8828363691fffff,grassland,0.51,30
8828363693fffff,grassland,0.531,30
8828363695fffff,cropland,0.854,40
8828363697fffff,cropland,0.644,40
8828363699fffff,open water,0.412,80
882836369bfffff,grassland,0.511,30
882836369dfffff,cropland,0.522,40
88283636b1fffff,cropland,0.337,40
88283636b3fffff,cropland,0.675,40
88283636b7fffff,open water,0.379,80
88283636b9fffff,cropland,0.717,40
88283636bbfffff,cropland,0.505,40
88283636bdfffff,cropland,0.573,40
88283636c1fffff,cropland,0.698,40
88283636c3fffff,cropland,0.635,40
88283636cbfffff,cropland,0.535,40
88283636d1fffff,cropland,0.393,40
88283636d3fffff,open water,0.505,80
88283636d5fffff,cropland,0.819,40
88283636d7fffff,cropland,0.735,40
88283636d9fffff,grassland,0.357,30
88283636dbfffff,developed,0.445,50
88283636ddfffff,cropland,0.935,40
882836ac91fffff,cropland,0.769,40
882836ac93fffff,open water,0.962,80
882836ac95fffff,cropland,0.643,40
882836ac97fffff,open water,0.528,80
882836ac99fffff,grassland,0.372,30
882836ac9bfffff,cropland,0.397,40
882836ac9dfffff,cropland,0.424,40
882836acb3fffff,cropland,0.511,40
882836acbbfffff,cropland,0.511,40
