h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
8828301209fffff,9.168569658755766,38.3768352365416,70190.0,8703.0,,,chm-legacy,2009-2020,coverage-unknown
882830120bfffff,2.9398165273359473,0.0,22503.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830120dfffff,23.04781005369735,3.6322725811636127,176455.0,17268.0,,,chm-legacy,2009-2020,coverage-unknown
8828301211fffff,32.71527113498227,10.017918563219574,198228.0,47184.0,605919.6,0.7913437705668572,usfs-2022,2022,partial
8828301213fffff,25.590001711649187,7.639225962370719,195911.0,97958.0,765577.44,0.9999992601578334,usfs-2022,2022,full
8828301215fffff,4.229296653431651,0.0,429.0,0.0,10154.88,0.013261535278778798,usfs-2022,2022,partial
8828301217fffff,13.115525608535695,22.063844015063527,35716.0,7972.0,272320.92,0.35568075511513353,usfs-2022,2022,partial
8828301219fffff,35.1593621649608,0.0,32759.0,0.0,93172.68,0.12167731788512912,usfs-2022,2022,partial
882830121bfffff,39.36491809398458,1.9581140270160846,294584.0,9589.0,748340.64,0.9774188806584557,usfs-2022,2022,partial
882830121dfffff,4.3596579174732835,0.0,33366.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301221fffff,19.785715935068236,0.0,151470.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301223fffff,5.851444838278856,7.483962936564505,44790.0,7476.0,,,chm-legacy,2009-2020,coverage-unknown
8828301225fffff,49.50180385345596,62.53379683275397,378988.0,5587.0,,,chm-legacy,2009-2020,coverage-unknown
8828301227fffff,10.224601301514433,16.01281024819856,78269.0,6042.0,,,chm-legacy,2009-2020,coverage-unknown
8828301229fffff,20.918489910562496,20.427350427350422,160153.0,10725.0,,,chm-legacy,2009-2020,coverage-unknown
882830122bfffff,37.40567018646457,34.147465437788014,286339.0,8231.0,,,chm-legacy,2009-2020,coverage-unknown
882830122dfffff,17.310278223179257,46.71150971599402,132538.0,8214.0,,,chm-legacy,2009-2020,coverage-unknown
8828301231fffff,22.818280136435483,8.25451418744626,174624.0,12292.0,,,chm-legacy,2009-2020,coverage-unknown
8828301233fffff,11.30729972519225,0.0,86521.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301235fffff,1.1102695313221629,0.0,8497.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301237fffff,3.313369932900793,7.497467071935157,25355.0,5259.0,,,chm-legacy,2009-2020,coverage-unknown
8828301239fffff,32.909783402512645,0.0,251870.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830123bfffff,44.210667319497624,0.0,338312.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830123dfffff,25.693841349618435,24.78134110787172,196658.0,11889.0,,,chm-legacy,2009-2020,coverage-unknown
8828301241fffff,44.737109685529944,0.0,342556.0,75.0,,,chm-legacy,2009-2020,coverage-unknown
8828301243fffff,51.9685949572527,0.0,397872.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301245fffff,9.167001937634977,50.78436586014357,70197.0,10662.0,,,chm-legacy,2009-2020,coverage-unknown
8828301247fffff,13.298860454154768,40.02610398085708,101823.0,15880.0,,,chm-legacy,2009-2020,coverage-unknown
8828301249fffff,64.76415443215858,50.53050397877984,495938.0,2148.0,,,chm-legacy,2009-2020,coverage-unknown
882830124bfffff,48.20477954609575,0.0,369082.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830124dfffff,38.57660065380934,29.61128048780488,295425.0,21277.0,,,chm-legacy,2009-2020,coverage-unknown
8828301251fffff,32.487565408723626,0.0,248672.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301253fffff,16.52421915807282,1.0986328125,126465.0,23334.0,,,chm-legacy,2009-2020,coverage-unknown
8828301255fffff,28.259411865355176,19.12878787878788,216324.0,12298.0,,,chm-legacy,2009-2020,coverage-unknown
8828301257fffff,11.884912566083775,3.3494363929146536,90965.0,17286.0,,,chm-legacy,2009-2020,coverage-unknown
8828301259fffff,3.2213914820620233,0.0,24659.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
