h3,lidar_pct,lidar_coverage
882830888dfffff,52.9507,1.0
8828308891fffff,44.5133,1.0
8828308893fffff,57.7429,1.0
8828308895fffff,26.2252,1.0
8828308897fffff,20.3419,1.0
8828308899fffff,33.4931,1.0
882830889bfffff,17.6993,1.0
882830889dfffff,22.7499,1.0
88283088a1fffff,30.6435,1.0
88283088a3fffff,32.9589,1.0
88283088a5fffff,43.8162,1.0
88283088a7fffff,57.0559,1.0
88283088a9fffff,19.9657,1.0
88283088abfffff,54.6974,1.0
88283088adfffff,14.6139,1.0
88283088b1fffff,59.8846,1.0
88283088b3fffff,46.1845,1.0
88283088b5fffff,30.7366,1.0
88283088b7fffff,13.0928,1.0
88283088b9fffff,45.9331,1.0
88283088bbfffff,44.8729,1.0
88283088bdfffff,39.0008,1.0
88283088c1fffff,44.4882,1.0
88283088c3fffff,46.8485,1.0
88283088c5fffff,58.6927,1.0
88283088c7fffff,39.7089,1.0
88283088c9fffff,39.8667,1.0
88283088cbfffff,54.2579,1.0
88283088cdfffff,43.0988,1.0
88283088d1fffff,19.6304,1.0
88283088d3fffff,48.6263,1.0
88283088d5fffff,32.5133,1.0
88283088d7fffff,28.3942,1.0
88283088d9fffff,62.1785,1.0
88283088dbfffff,58.9379,1.0
88283088ddfffff,48.2001,1.0
88283088e1fffff,15.6132,1.0
88283088e3fffff,4.0739,1.0
88283088e5fffff,48.2286,1.0
88283088e7fffff,31.6135,1.0
88283088e9fffff,31.1925,1.0
88283088ebfffff,29.9805,1.0
88283088edfffff,44.5537,1.0
8828308901fffff,22.9917,1.0
8828308903fffff,51.8457,1.0
8828308905fffff,25.445,1.0
8828308907fffff,24.5579,1.0
8828308909fffff,42.9752,1.0
882830890bfffff,22.6561,1.0
882830890dfffff,37.3876,1.0
8828308911fffff,33.1872,1.0
8828308913fffff,47.3492,1.0
8828308915fffff,53.7842,1.0
8828308917fffff,66.2837,1.0
8828308919fffff,43.4398,1.0
882830891bfffff,39.3005,1.0
882830891dfffff,35.9904,1.0
8828308921fffff,28.0513,1.0
8828308923fffff,22.0959,1.0
8828308925fffff,19.063,1.0
8828308927fffff,18.4618,1.0
8828308929fffff,23.6033,1.0
882830892bfffff,23.4282,1.0
882830892dfffff,28.5737,1.0
8828308931fffff,30.1289,1.0
8828308933fffff,44.8726,1.0
8828308935fffff,33.6952,1.0
8828308937fffff,28.0503,1.0
8828308939fffff,52.0534,1.0
882830893bfffff,49.0914,1.0
882830893dfffff,27.8882,1.0
8828308941fffff,39.2911,1.0
8828308943fffff,32.4467,1.0
8828308945fffff,24.1107,1.0
8828308947fffff,43.9467,1.0
8828308949fffff,14.1401,1.0
882830894bfffff,28.8118,1.0
882830894dfffff,35.5492,1.0
8828308951fffff,50.7914,1.0
8828308953fffff,30.5626,1.0
8828308955fffff,28.5996,1.0
8828308957fffff,26.6918,1.0
8828308959fffff,41.2569,1.0
882830895bfffff,27.5977,1.0
882830895dfffff,52.7696,1.0
8828308961fffff,31.4128,1.0
8828308963fffff,26.1972,1.0
8828308965fffff,26.6563,1.0
8828308967fffff,16.9332,1.0
8828308969fffff,36.8242,1.0
882830896bfffff,40.5893,1.0
882830896dfffff,26.8492,1.0
8828308981fffff,39.6634,1.0
8828308983fffff,25.4424,1.0
8828308985fffff,12.1508,1.0
8828308987fffff,30.8518,1.0
8828308989fffff,32.1255,1.0
882830898bfffff,29.0532,1.0
882830898dfffff,36.4305,1.0
8828308991fffff,24.138,1.0
8828308993fffff,15.2439,1.0
8828308995fffff,28.6458,1.0
8828308997fffff,23.156,1.0
8828308999fffff,45.9991,1.0
882830899bfffff,60.122,1.0
882830899dfffff,41.8799,1.0
88283089a1fffff,64.8359,1.0
88283089a3fffff,57.7709,1.0
88283089a5fffff,33.9474,1.0
88283089a7fffff,31.3163,1.0
88283089a9fffff,29.6171,1.0
88283089abfffff,43.9762,1.0
88283089adfffff,66.3545,1.0
88283089b1fffff,47.7209,1.0
88283089b3fffff,48.53,1.0
88283089b5fffff,45.4299,1.0
88283089b7fffff,52.1086,1.0
88283089b9fffff,40.9216,1.0
88283089bbfffff,12.8148,1.0
88283089bdfffff,42.2968,1.0
88283089c1fffff,48.9074,1.0
88283089c3fffff,49.9981,1.0
88283089c5fffff,54.487,1.0
88283089c7fffff,67.1314,1.0
88283089c9fffff,47.0883,1.0
88283089cbfffff,49.3294,1.0
88283089cdfffff,48.8038,1.0
88283089d1fffff,32.1608,1.0
88283089d3fffff,38.852,1.0
88283089d5fffff,34.0238,1.0
88283089d7fffff,25.7586,1.0
88283089d9fffff,49.3938,1.0
88283089dbfffff,33.4404,1.0
88283089ddfffff,46.1234,1.0
88283089e1fffff,57.1146,1.0
88283089e3fffff,28.2514,1.0
88283089e5fffff,64.3907,1.0
88283089e7fffff,56.0233,1.0
88283089e9fffff,60.2559,1.0
88283089ebfffff,49.7476,1.0
88283089edfffff,42.82,1.0
8828308a05fffff,45.9333,1.0
8828308a21fffff,75.6991,1.0
8828308a23fffff,56.2132,1.0
8828308a25fffff,37.1021,1.0
8828308a27fffff,27.556,1.0
8828308a29fffff,82.1697,1.0
8828308a2bfffff,58.2431,1.0
8828308a2dfffff,86.9163,1.0
8828308a31fffff,56.2906,1.0
8828308a33fffff,52.439,1.0
8828308a35fffff,47.2472,1.0
