h3,canopy_pct,row_canopy_pct,row_m2,canopy_m2,assessed_m2,coverage_frac,flat_frac
882830129bfffff,0.0,0.0,0.0,0.0,1246953.6,1.0,1.0
882830129dfffff,8.299232382201613,11.178017131710627,60324.0,63454.0,1247120.64,1.0,0.4906
88283012a1fffff,6.151677604214807,0.0,6313.0,47048.0,1246348.8,1.0,0.7609
88283012a3fffff,1.7414991112444884,0.0,22810.0,13317.0,1247587.2,1.0,0.7359
88283012a5fffff,21.900442876340982,0.0,0.0,167506.0,1247264.64,1.0,0.5275
88283012a7fffff,7.043183844281339,0.0,0.0,53863.0,1246999.68,1.0,0.4547
88283012a9fffff,3.553585706164817,2.0842194810718846,13260.0,27180.0,1246308.48,1.0,0.757
88283012abfffff,5.638988335835546,0.0,23.0,43124.0,1246896.0,1.0,0.7884
88283012adfffff,12.02894334621654,0.0,0.0,92010.0,1247391.36,1.0,0.7758
88283012b1fffff,3.8349732180407345,2.8465017291832937,42071.0,29320.0,1246331.52,1.0,0.5558
88283012b3fffff,0.0,0.0,0.0,0.0,1247575.68,1.0,1.0
88283012b5fffff,3.6909355576607594,2.0639147802929427,25419.0,28220.0,1246435.2,1.0,0.2646
88283012b7fffff,1.506400934402541,0.5774278215223096,10909.0,11516.0,1247667.84,1.0,0.6263
88283012b9fffff,9.452738617980124,6.717903350657968,194354.0,72274.0,1246176.0,1.0,0.1005
88283012bbfffff,0.9516766425550599,4.260089686098654,22136.0,7275.0,1246204.8,1.0,0.8498
88283012bdfffff,2.4447257305997248,0.7575757575757576,11318.0,18693.0,1246844.16,1.0,0.6039
88283012c1fffff,11.104335010418255,1.7260056329890952,78382.0,84943.0,1246734.72,1.0,0.4135
88283012c3fffff,16.29301536370319,10.197818327384327,155059.0,124617.0,1245824.64,1.0,0.136
88283012c5fffff,13.672508513263132,3.538050734312417,124848.0,104596.0,1246619.52,1.0,0.2377
88283012c7fffff,11.83571976594781,4.438415626695605,152168.0,90532.0,1246245.12,1.0,0.2494
88283012c9fffff,25.02184920579871,6.073881127160787,45694.0,191419.0,1245628.8,1.0,0.3648
