h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality,inside_frac
89283012323ffff,Alexandria Victoria By the Bay E 17,,60.8,4.86,0.0,routed,232.0,approach-review,0.301
89283012327ffff,Alexandria Victoria By the Bay E 16,,57.0,4.56,0.0,routed,246.0,approach-review,0.043
89283012333ffff,Valley Oak Villas E 47,,55.6,4.45,0.0,routed,113.0,approach-review,1.0
89283012337ffff,Valley Oak Villas E 45,,57.9,4.63,0.0,routed,316.0,approach-review,1.0
8928301233bffff,Valley Oak Villas E 48,,60.2,4.82,0.0,routed,186.0,approach-review,0.735
89283012377ffff,Crockett S 3,,65.9,5.27,0.0,routed,167.0,approach-review,0.14
89283012387ffff,Carriage Hills North NE 24,,45.3,3.62,0.0,routed,686.0,approach-review,0.128
8928301238bffff,Carriage Hills North NE 28,,60.1,4.81,0.0,routed,393.0,approach-review,0.145
8928301238fffff,Carriage Hills North NE 27,,56.6,4.53,0.0,routed,540.0,approach-review,0.798
892830123a3ffff,Carriage Hills North NE 25,,40.1,3.21,0.0,routed,426.0,approach-review,1.0
892830123a7ffff,Valley Oak Villas E 44,,38.5,3.08,0.0,routed,297.0,approach-review,1.0
892830123abffff,Carriage Hills North NE 29,,52.3,4.18,0.0,routed,563.0,approach-review,1.0
892830123afffff,Valley Oak Villas E 46,,45.5,3.64,0.0,routed,544.0,approach-review,1.0
892830123b3ffff,Carriage Hills North NE 23,,40.7,3.26,0.0,routed,472.0,approach-review,0.587
892830123b7ffff,Carriage Hills North NE 22,,36.4,2.91,0.0,routed,125.0,approach-review,0.982
892830123bbffff,Carriage Hills North NE 26,,44.5,3.56,0.0,routed,628.0,approach-review,1.0
892830125a7ffff,Carriage Hills North E 2,,70.6,5.65,362.0,routed,192.0,approach-review,0.365
892830125b7ffff,Carriage Hills South NE,,70.3,5.63,806.0,routed,167.0,approach-review,0.522
89283012803ffff,Alexandria Victoria By the Bay E 3,,23.3,1.86,1610.0,routed,71.0,network-estimate,1.0
89283012807ffff,Alexandria Victoria By the Bay E,,20.4,1.63,734.0,routed,159.0,approach-review,1.0
8928301280bffff,Alexandria Victoria By the Bay E 4,,31.5,2.52,1585.0,routed,95.0,network-estimate,1.0
8928301280fffff,Alexandria Victoria By the Bay E 2,,21.0,1.68,324.0,routed,156.0,approach-review,1.0
89283012813ffff,Alexandria Victoria By the Bay SE 4,,26.6,2.13,1511.0,routed,163.0,approach-review,1.0
89283012817ffff,Alexandria Victoria By the Bay SE 2,,29.4,2.35,706.0,routed,179.0,approach-review,1.0
8928301281bffff,Alexandria Victoria By the Bay E 6,,26.2,2.09,2093.0,routed,116.0,approach-review,1.0
89283012823ffff,Alexandria Victoria By the Bay N,,14.3,1.14,1897.0,routed,140.0,approach-review,1.0
89283012827ffff,Alexandria Victoria By the Bay N 2,,17.0,1.36,1593.0,routed,64.0,network-estimate,1.0
8928301282bffff,Rodeo SE 2,,12.4,0.99,1476.0,routed,93.0,network-estimate,1.0
8928301282fffff,Rodeo S,,10.6,0.85,1492.0,routed,93.0,network-estimate,1.0
89283012833ffff,Alexandria Victoria By the Bay NE,,21.0,1.68,2404.0,routed,93.0,network-estimate,1.0
89283012837ffff,Alexandria Victoria By the Bay NW,,21.6,1.73,1518.0,routed,96.0,network-estimate,1.0
8928301283bffff,Alexandria Victoria By the Bay NE 2,,16.2,1.29,1405.0,routed,52.0,network-estimate,1.0
89283012843ffff,Alexandria Victoria By the Bay E 10,,34.8,2.78,1041.0,routed,85.0,network-estimate,1.0
89283012847ffff,Alexandria Victoria By the Bay E 8,,28.9,2.32,869.0,routed,259.0,approach-review,1.0
8928301284bffff,Bayo Vista SE 12,,34.4,2.75,1096.0,routed,275.0,approach-review,1.0
8928301284fffff,Bayo Vista SE 9,,28.7,2.29,1288.0,routed,237.0,approach-review,1.0
89283012853ffff,Alexandria Victoria By the Bay E 11,,36.2,2.9,783.0,routed,230.0,approach-review,0.838
89283012857ffff,Alexandria Victoria By the Bay E 7,,31.0,2.48,1116.0,routed,217.0,approach-review,1.0
8928301285bffff,Alexandria Victoria By the Bay E 13,,37.8,3.03,0.0,routed,329.0,approach-review,0.833
89283012863ffff,Bayo Vista S 3,,22.8,1.82,687.0,routed,50.0,network-estimate,1.0
89283012867ffff,Bayo Vista S 2,,14.2,1.14,1243.0,routed,184.0,approach-review,1.0
8928301286bffff,Bayo Vista SE 4,,20.9,1.67,492.0,routed,289.0,approach-review,1.0
8928301286fffff,Bayo Vista SE 2,,16.5,1.32,914.0,routed,14.0,network-estimate,1.0
89283012873ffff,Alexandria Victoria By the Bay E 5,,32.7,2.61,1130.0,routed,216.0,approach-review,1.0
89283012877ffff,Alexandria Victoria By the Bay NE 3,,17.7,1.42,1054.0,routed,233.0,approach-review,1.0
8928301287bffff,Bayo Vista SE 6,,25.8,2.06,1145.0,routed,133.0,approach-review,1.0
89283012883ffff,Valley Oak Villas NE,,17.2,1.38,405.0,routed,63.0,network-estimate,1.0
89283012887ffff,Forest Past NE 3,,18.9,1.51,464.0,routed,83.0,network-estimate,1.0
8928301288bffff,Foxboro Park,,30.5,2.44,1035.0,routed,47.0,detour-review,1.0
8928301288fffff,Alexandria Victoria By the Bay SE 3,,35.0,2.8,1152.0,routed,100.0,detour-review,1.0
89283012893ffff,Valley Oak Villas E 4,,3.6,0.29,2522.0,routed,56.0,network-estimate,1.0
89283012897ffff,Valley Oak Villas E 3,,3.0,0.24,802.0,routed,25.0,network-estimate,1.0
8928301289bffff,Valley Oak Villas E 7,,9.0,0.72,1308.0,routed,142.0,approach-review,1.0
892830128a3ffff,Alexandria Victoria By the Bay S,,22.2,1.78,1040.0,routed,136.0,approach-review,1.0
892830128a7ffff,Alexandria Victoria By the Bay SW,,23.7,1.89,530.0,routed,21.0,network-estimate,1.0
892830128abffff,Alexandria Victoria By the Bay SE,,24.2,1.93,1066.0,routed,214.0,approach-review,1.0
892830128afffff,Alexandria Victoria By the Bay,,22.4,1.79,1794.0,routed,57.0,network-estimate,1.0
892830128b3ffff,Forest Past NE 2,,16.0,1.28,17.0,routed,117.0,approach-review,1.0
892830128b7ffff,Forest Past N,,19.4,1.55,1814.0,routed,104.0,approach-review,1.0
892830128bbffff,Alexandria Victoria By the Bay S 2,,24.3,1.94,141.0,routed,300.0,approach-review,1.0
892830128c3ffff,Alexandria Victoria By the Bay SE 6,,23.3,1.87,754.0,routed,136.0,approach-review,0.77
892830128c7ffff,Alexandria Victoria By the Bay SE 5,,21.9,1.76,2600.0,routed,49.0,network-estimate,1.0
892830128cbffff,Alexandria Victoria By the Bay E 12,,27.0,2.16,232.0,routed,342.0,approach-review,0.282
892830128cfffff,Alexandria Victoria By the Bay E 9,,26.7,2.14,1125.0,routed,249.0,approach-review,1.0
892830128d3ffff,Valley Oak Villas E 14,,15.7,1.26,531.0,routed,329.0,approach-review,0.858
892830128d7ffff,Valley Oak Villas E 11,,16.8,1.35,508.0,routed,142.0,approach-review,1.0
89283012903ffff,Dylan Apartment Homes N 5,,43.1,3.45,0.0,routed,749.0,approach-review,1.0
89283012907ffff,Dylan Apartment Homes NW 5,,39.6,3.17,0.0,routed,1066.0,approach-review,1.0
8928301290bffff,Dylan Apartment Homes N 6,,19.6,1.57,0.0,routed,631.0,approach-review,1.0
8928301290fffff,Dylan Apartment Homes N 7,,24.0,1.92,0.0,routed,948.0,approach-review,1.0
89283012913ffff,Dylan Apartment Homes NW 2,,40.5,3.24,0.0,routed,541.0,approach-review,1.0
89283012917ffff,Dylan Apartment Homes NW 4,,34.8,2.78,0.0,routed,829.0,approach-review,1.0
8928301291bffff,Dylan Apartment Homes N 4,,39.1,3.13,0.0,routed,408.0,approach-review,1.0
89283012923ffff,Dylan Apartment Homes NW 9,,32.5,2.6,0.0,routed,1634.0,approach-review,1.0
89283012927ffff,Dylan Apartment Homes NW 10,,49.3,3.94,0.0,routed,1928.0,approach-review,1.0
8928301292bffff,Rodeo W 10,,23.5,1.88,0.0,routed,1460.0,approach-review,1.0
8928301292fffff,Dylan Apartment Homes NW 11,,27.7,2.22,0.0,routed,1801.0,approach-review,1.0
89283012933ffff,Dylan Apartment Homes NW 7,,41.9,3.35,0.0,routed,1396.0,approach-review,1.0
89283012937ffff,Hercules N 3,,44.8,3.58,0.0,routed,1685.0,approach-review,1.0
8928301293bffff,Dylan Apartment Homes NW 8,,28.2,2.26,0.0,routed,1289.0,approach-review,1.0
89283012943ffff,Rodeo W 2,,10.8,0.86,302.0,routed,170.0,approach-review,1.0
89283012947ffff,Rodeo W 4,,13.2,1.06,0.0,routed,446.0,approach-review,1.0
8928301294bffff,Rodeo W,,4.5,0.36,1609.0,routed,137.0,approach-review,1.0
8928301294fffff,Rodeo W 3,,7.5,0.6,0.0,routed,279.0,approach-review,1.0
89283012953ffff,Alexandria Victoria By the Bay NW 3,,15.5,1.24,1180.0,routed,102.0,approach-review,1.0
89283012957ffff,Rodeo SW 2,,16.1,1.29,0.0,routed,315.0,approach-review,1.0
8928301295bffff,Rodeo SW,,9.5,0.76,1295.0,routed,147.0,approach-review,1.0
89283012963ffff,Rodeo W 7,,16.3,1.31,0.0,routed,887.0,approach-review,1.0
89283012967ffff,Rodeo W 9,,20.7,1.65,0.0,routed,1236.0,approach-review,1.0
8928301296bffff,Rodeo NW 3,,13.6,1.09,0.0,routed,716.0,approach-review,1.0
8928301296fffff,Rodeo NW 4,,18.0,1.44,0.0,routed,1063.0,approach-review,1.0
89283012973ffff,Rodeo W 6,,15.3,1.22,0.0,routed,752.0,approach-review,1.0
89283012977ffff,Rodeo W 8,,19.3,1.54,0.0,routed,1124.0,approach-review,1.0
8928301297bffff,Rodeo W 5,,12.0,0.96,0.0,routed,539.0,approach-review,1.0
89283012983ffff,Hercules N,,25.9,2.07,0.0,routed,171.0,approach-review,1.0
89283012987ffff,Hercules NW 2,,29.8,2.38,0.0,routed,504.0,approach-review,1.0
8928301298bffff,Dylan Apartment Homes NW,,29.4,2.35,0.0,routed,334.0,approach-review,1.0
8928301298fffff,Dylan Apartment Homes NW 3,,30.2,2.42,0.0,routed,519.0,approach-review,1.0
89283012993ffff,Hercules,,21.9,1.76,754.0,routed,51.0,network-estimate,1.0
89283012997ffff,Hercules NW,,23.0,1.84,0.0,routed,237.0,approach-review,1.0
8928301299bffff,Dylan Apartment Homes W,,26.4,2.11,989.0,routed,5.0,network-estimate,1.0
892830129a3ffff,Hercules NW 6,,37.1,2.97,0.0,routed,1093.0,approach-review,1.0
892830129a7ffff,Hercules NW 9,,38.4,3.08,0.0,routed,1407.0,approach-review,1.0
892830129abffff,Dylan Apartment Homes NW 6,,37.4,2.99,0.0,routed,1093.0,approach-review,1.0
892830129afffff,Hercules NW 10,,40.8,3.26,0.0,routed,1386.0,approach-review,1.0
892830129b3ffff,Hercules NW 4,,30.7,2.45,0.0,routed,819.0,approach-review,1.0
892830129b7ffff,Hercules NW 7,,34.5,2.76,0.0,routed,1150.0,approach-review,1.0
892830129bbffff,Hercules N 2,,33.3,2.66,0.0,routed,786.0,approach-review,1.0
892830129c3ffff,Dylan Apartment Homes NE,,31.0,2.48,726.0,routed,90.0,network-estimate,1.0
892830129c7ffff,Dylan Apartment Homes N 2,,36.1,2.89,0.0,routed,246.0,approach-review,1.0
892830129cbffff,Alexandria Victoria By the Bay NW 2,,21.0,1.68,932.0,routed,95.0,network-estimate,1.0
892830129cfffff,Dylan Apartment Homes N 3,,34.8,2.78,0.0,routed,79.0,network-estimate,1.0
892830129d3ffff,Dylan Apartment Homes E,,27.8,2.22,1187.0,routed,83.0,network-estimate,1.0
892830129d7ffff,Dylan Apartment Homes N,,30.5,2.44,212.0,routed,143.0,approach-review,1.0
892830129dbffff,Alexandria Victoria By the Bay W,,27.0,2.16,999.0,routed,70.0,network-estimate,1.0
89283012a03ffff,Bayo Vista E 17,,48.2,3.86,0.0,routed,233.0,approach-review,0.999
89283012a07ffff,Bayo Vista E 14,,44.3,3.54,283.0,routed,241.0,approach-review,1.0
89283012a0bffff,Valona S 2,,51.4,4.11,0.0,routed,389.0,approach-review,0.163
89283012a0fffff,Bayo Vista E 16,,47.1,3.77,0.0,routed,253.0,approach-review,1.0
89283012a13ffff,Bayo Vista E 18,,52.2,4.17,0.0,routed,402.0,approach-review,0.991
89283012a17ffff,Bayo Vista E 15,,51.1,4.09,0.0,routed,316.0,approach-review,1.0
89283012a1bffff,Valona S 3,,52.7,4.22,0.0,routed,448.0,approach-review,0.12
89283012a23ffff,Bayo Vista E 8,,36.4,2.91,344.0,routed,283.0,approach-review,1.0
89283012a27ffff,Bayo Vista E 6,,31.4,2.51,372.0,routed,159.0,approach-review,1.0
89283012a2bffff,Bayo Vista E 13,,41.2,3.29,194.0,routed,339.0,approach-review,1.0
89283012a2fffff,Bayo Vista E 10,,35.3,2.82,0.0,routed,290.0,approach-review,1.0
89283012a33ffff,Bayo Vista E 9,,41.3,3.3,0.0,routed,204.0,approach-review,1.0
89283012a37ffff,Bayo Vista E 5,,31.7,2.53,142.0,routed,189.0,approach-review,1.0
89283012a3bffff,Bayo Vista E 12,,41.8,3.34,90.0,routed,242.0,approach-review,1.0
89283012a63ffff,Valona SW 6,,51.5,4.12,0.0,routed,205.0,approach-review,0.282
89283012a67ffff,Valona SW 7,,49.8,3.98,0.0,routed,497.0,approach-review,1.0
89283012a6fffff,Valona SW 4,,51.3,4.11,0.0,routed,194.0,approach-review,0.121
89283012a73ffff,Valona SW 9,,51.8,4.15,0.0,routed,413.0,approach-review,0.217
89283012a77ffff,Valona SW 10,,46.9,3.75,0.0,routed,265.0,approach-review,1.0
89283012a83ffff,Bayo Vista SE 16,,40.9,3.27,0.0,routed,363.0,approach-review,1.0
89283012a87ffff,Bayo Vista SE 13,,37.4,2.99,365.0,routed,83.0,network-estimate,1.0
89283012a8bffff,Bayo Vista SE 17,,45.7,3.65,0.0,routed,359.0,approach-review,0.975
89283012a8fffff,Bayo Vista SE 14,,44.0,3.52,0.0,routed,228.0,approach-review,1.0
89283012a93ffff,Bayo Vista SE 18,,44.0,3.52,0.0,routed,414.0,approach-review,0.509
89283012a97ffff,Bayo Vista SE 15,,38.7,3.1,240.0,routed,223.0,approach-review,1.0
89283012a9bffff,Bayo Vista SE 19,,46.9,3.75,0.0,routed,458.0,approach-review,0.948
89283012aa3ffff,Bayo Vista SE 8,,37.3,2.98,0.0,routed,341.0,approach-review,1.0
89283012aa7ffff,Bayo Vista SE 5,,27.4,2.19,0.0,routed,416.0,approach-review,1.0
89283012aabffff,Bayo Vista E 11,,42.2,3.37,61.0,routed,101.0,approach-review,1.0
89283012aafffff,Bayo Vista E 7,,36.5,2.92,0.0,routed,279.0,approach-review,1.0
89283012ab3ffff,Bayo Vista SE 10,,32.8,2.62,97.0,routed,340.0,approach-review,1.0
89283012ab7ffff,Bayo Vista SE 7,,26.2,2.09,0.0,routed,424.0,approach-review,1.0
89283012abbffff,Bayo Vista SE 11,,41.7,3.34,0.0,routed,400.0,approach-review,1.0
89283012ac7ffff,Bayo Vista E 19,,55.7,4.46,0.0,routed,573.0,approach-review,0.08
89283012ad7ffff,Bayo Vista SE 20,,49.6,3.97,0.0,routed,670.0,approach-review,0.048
89283012b03ffff,Bayo Vista N 2,,15.6,1.25,600.0,routed,98.0,network-estimate,1.0
89283012b07ffff,Bayo Vista NW 2,,16.7,1.34,0.0,routed,254.0,approach-review,1.0
89283012b0bffff,Bayo Vista N 3,,18.5,1.48,466.0,routed,90.0,network-estimate,1.0
89283012b0fffff,Bayo Vista N 4,,20.8,1.66,0.0,routed,24.0,network-estimate,1.0
89283012b13ffff,Bayo Vista N,,13.4,1.07,1157.0,routed,44.0,network-estimate,1.0
89283012b17ffff,Bayo Vista NW,,11.6,0.93,270.0,routed,169.0,approach-review,1.0
89283012b1bffff,Bayo Vista NE,,17.5,1.4,0.0,routed,164.0,approach-review,1.0
89283012b23ffff,Bayo Vista NW 6,,29.2,2.34,0.0,routed,702.0,approach-review,0.338
89283012b2bffff,Bayo Vista N 8,,28.1,2.25,0.0,routed,545.0,approach-review,1.0
89283012b2fffff,Bayo Vista NW 8,,32.8,2.62,0.0,routed,804.0,approach-review,0.365
89283012b33ffff,Bayo Vista NW 4,,20.5,1.64,0.0,routed,556.0,approach-review,0.573
89283012b3bffff,Bayo Vista N 5,,24.9,1.99,0.0,routed,354.0,approach-review,1.0
89283012b43ffff,Bayo Vista NE 6,,29.1,2.33,0.0,routed,280.0,approach-review,1.0
89283012b47ffff,Bayo Vista NE 5,,26.7,2.14,200.0,routed,173.0,approach-review,1.0
89283012b4bffff,Bayo Vista NE 10,,36.0,2.88,259.0,routed,134.0,approach-review,1.0
89283012b4fffff,Bayo Vista NE 9,,37.7,3.02,355.0,routed,120.0,approach-review,1.0
89283012b53ffff,Bayo Vista NE 4,,27.0,2.16,212.0,routed,155.0,approach-review,1.0
