h3,land,land_frac,wc_code
8929aeb1307ffff,grassland,0.924,30
8929aeb130bffff,grassland,0.999,30
8929aeb130fffff,grassland,0.985,30
8929aeb1313ffff,bare ground,0.379,60
8929aeb1317ffff,grassland,0.804,30
8929aeb131bffff,grassland,0.954,30
8929aeb1323ffff,grassland,0.847,30
8929aeb1327ffff,grassland,0.988,30
8929aeb132bffff,grassland,0.901,30
8929aeb132fffff,grassland,0.935,30
8929aeb1333ffff,grassland,0.802,30
8929aeb1337ffff,grassland,0.985,30
8929aeb133bffff,grassland,1.0,30
8929aeb1343ffff,grassland,0.701,30
8929aeb1347ffff,grassland,0.822,30
8929aeb134bffff,developed,0.99,50
8929aeb134fffff,developed,0.826,50
8929aeb1353ffff,grassland,0.55,30
8929aeb1357ffff,grassland,0.735,30
8929aeb135bffff,developed,0.977,50
8929aeb1363ffff,grassland,0.43,30
8929aeb1367ffff,grassland,0.674,30
8929aeb136bffff,grassland,0.932,30
8929aeb136fffff,grassland,0.978,30
8929aeb1373ffff,grassland,0.5,30
8929aeb1377ffff,grassland,0.93,30
8929aeb137bffff,developed,0.612,50
8929aeb1383ffff,grassland,0.637,30
8929aeb1387ffff,developed,0.442,50
8929aeb138bffff,grassland,0.496,30
8929aeb138fffff,grassland,0.872,30
8929aeb1393ffff,grassland,0.976,30
8929aeb1397ffff,bare ground,0.397,60
8929aeb139bffff,grassland,1.0,30
8929aeb13a3ffff,developed,0.851,50
8929aeb13a7ffff,grassland,0.505,30
8929aeb13abffff,grassland,0.369,30
8929aeb13afffff,developed,0.8,50
8929aeb13b3ffff,developed,0.721,50
8929aeb13b7ffff,bare ground,0.495,60
8929aeb13bbffff,developed,0.565,50
8929aeb13c3ffff,grassland,0.867,30
8929aeb13c7ffff,grassland,0.798,30
8929aeb13cbffff,grassland,0.826,30
8929aeb13cfffff,grassland,0.976,30
8929aeb13d3ffff,grassland,1.0,30
8929aeb13d7ffff,grassland,0.813,30
8929aeb13dbffff,grassland,0.794,30
8929aeb152fffff,developed,0.891,50
8929aeb1567ffff,developed,0.963,50
8929aeb156bffff,developed,0.494,50
8929aeb157bffff,developed,0.711,50
8929aeb1603ffff,grassland,0.996,30
8929aeb1607ffff,grassland,1.0,30
8929aeb160bffff,grassland,0.998,30
8929aeb160fffff,grassland,1.0,30
8929aeb1613ffff,bare ground,0.575,60
8929aeb1617ffff,grassland,0.998,30
8929aeb161bffff,grassland,0.77,30
8929aeb1623ffff,grassland,0.996,30
8929aeb1627ffff,grassland,1.0,30
8929aeb162bffff,grassland,1.0,30
8929aeb162fffff,grassland,0.992,30
8929aeb1633ffff,grassland,0.994,30
8929aeb1637ffff,grassland,1.0,30
8929aeb163bffff,grassland,1.0,30
8929aeb1663ffff,grassland,1.0,30
8929aeb1667ffff,grassland,0.999,30
8929aeb166fffff,grassland,1.0,30
8929aeb1673ffff,grassland,1.0,30
8929aeb1677ffff,grassland,1.0,30
8929aeb16a3ffff,grassland,0.697,30
8929aeb16a7ffff,grassland,0.902,30
8929aeb16abffff,grassland,1.0,30
8929aeb16afffff,grassland,0.999,30
8929aeb16b3ffff,woodland,0.495,10
8929aeb16b7ffff,developed,0.445,50
8929aeb16bbffff,grassland,0.915,30
8929aeb1803ffff,woodland,0.51,10
8929aeb1807ffff,bare ground,0.844,60
8929aeb1817ffff,woodland,0.437,10
8929aeb1833ffff,bare ground,0.866,60
8929aeb1853ffff,grassland,0.749,30
8929aeb185bffff,grassland,0.817,30
8929aeb1883ffff,grassland,0.618,30
8929aeb188bffff,grassland,0.375,30
8929aeb1893ffff,developed,0.414,50
8929aeb1897ffff,grassland,0.498,30
8929aeb189bffff,grassland,0.919,30
8929aeb18a3ffff,bare ground,0.917,60
8929aeb18a7ffff,bare ground,0.561,60
8929aeb18abffff,bare ground,0.444,60
8929aeb18afffff,bare ground,0.547,60
8929aeb18c3ffff,grassland,0.887,30
8929aeb18c7ffff,grassland,0.518,30
8929aeb18cbffff,grassland,0.882,30
8929aeb18cfffff,grassland,0.615,30
8929aeb18d3ffff,grassland,0.647,30
8929aeb18d7ffff,grassland,0.856,30
8929aeb18dbffff,grassland,0.955,30
8929aeb19d3ffff,bare ground,0.791,60
8929aeb19dbffff,bare ground,0.833,60
8929aeb1a03ffff,grassland,0.485,30
8929aeb1a0bffff,grassland,0.965,30
8929aeb1a0fffff,grassland,0.76,30
8929aeb1a13ffff,grassland,0.43,30
8929aeb1a1bffff,grassland,0.738,30
8929aeb1a2bffff,grassland,0.413,30
8929aeb1a3bffff,woodland,0.377,10
8929aeb1a43ffff,grassland,0.99,30
8929aeb1a47ffff,grassland,1.0,30
8929aeb1a4bffff,grassland,0.926,30
8929aeb1a4fffff,grassland,0.995,30
8929aeb1a53ffff,grassland,0.755,30
8929aeb1a57ffff,grassland,0.813,30
8929aeb1a5bffff,grassland,0.999,30
8929aeb1a63ffff,grassland,0.878,30
8929aeb1a67ffff,grassland,0.71,30
8929aeb1a6bffff,grassland,0.405,30
8929aeb1a73ffff,grassland,1.0,30
8929aeb1a77ffff,grassland,0.949,30
8929aeb1a7bffff,grassland,0.884,30
8929aeb1a8bffff,grassland,0.633,30
8929aeb1a93ffff,grassland,0.728,30
8929aeb1a97ffff,grassland,0.522,30
8929aeb1a9bffff,grassland,0.753,30
8929aeb1ac3ffff,grassland,0.688,30
8929aeb1ac7ffff,grassland,0.542,30
8929aeb1acbffff,grassland,0.708,30
8929aeb1acfffff,grassland,0.569,30
8929aeb1ad3ffff,grassland,0.836,30
8929aeb1ad7ffff,grassland,0.813,30
8929aeb1adbffff,grassland,0.722,30
8929aeb1c03ffff,developed,0.856,50
8929aeb1c07ffff,developed,0.961,50
8929aeb1c0bffff,developed,0.978,50
8929aeb1c0fffff,developed,0.973,50
8929aeb1c13ffff,developed,0.865,50
8929aeb1c17ffff,developed,0.97,50
8929aeb1c1bffff,developed,0.962,50
8929aeb1c23ffff,developed,0.957,50
8929aeb1c27ffff,developed,0.809,50
8929aeb1c2bffff,developed,0.864,50
