GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060290038272,677,293,189177.0,74068.0,223,79,223,79,47,47.31807265728392,2024
060290039001,3944,430,117375.0,24793.0,1155,98,1148,98,211,88.24964589164084,2024
060290039002,1824,331,57137.0,48609.0,123,78,93,73,55,50.40833264451424,2024
060290040011,2638,826,69231.0,34142.0,556,149,530,147,151,68.13222438758329,2024
060290040012,1529,357,90563.0,43378.0,406,95,391,95,80,81.0617048920142,2024
060290040021,1342,531,51125.0,38466.0,487,177,459,172,80,69.53416426476987,2024
060290040022,2450,604,94659.0,31974.0,571,149,571,149,57,63.58458932791813,2024
060290041011,3173,659,86520.0,13211.0,819,162,819,162,355,129.61867149450345,2024
060290041012,1101,489,,,360,120,289,96,159,88.22131261775694,2024
060290041013,1679,580,55442.0,47338.0,505,215,483,214,169,179.2930561957155,2024
060290041021,2534,629,37209.0,3745.0,793,186,728,193,177,92.4716172671377,2024
060290041022,725,359,,,241,111,221,108,136,105.27582818482124,2024
060290041023,1421,447,55982.0,19707.0,385,86,371,89,148,88.45337754998393,2024
060290043021,3855,108,,,0,14,0,14,7,45.36518488885502,2024
060290043031,3844,985,55435.0,15873.0,942,211,928,212,159,96.2029105588807,2024
060290043032,1967,612,58894.0,30197.0,526,124,487,127,103,82.93370846646133,2024
060290043041,3117,619,48125.0,17390.0,909,185,909,185,144,126.17051953606278,2024
060290043051,1493,504,90156.0,32077.0,403,78,403,78,127,80.3554602998452,2024
060290044021,1700,591,49928.0,39914.0,515,151,413,140,132,87.8578397184907,2024
060290044022,1562,927,27444.0,8003.0,352,126,330,125,66,65.2916533716217,2024
060290044023,1647,416,35125.0,22918.0,658,205,648,205,235,196.69265365030796,2024
060290044031,1459,405,45684.0,18355.0,541,113,481,120,245,95.7653381970742,2024
060290044032,1216,348,71442.0,16911.0,387,119,387,119,86,68.60757975617562,2024
060290044041,1970,507,67563.0,37605.0,613,195,613,195,208,106.155546251715,2024
060290044042,1248,559,115417.0,81728.0,344,142,270,119,139,109.53538241134689,2024
060290044043,1317,649,31830.0,25586.0,613,290,513,286,145,80.1311425102625,2024
060290045001,1217,333,40268.0,17776.0,324,79,321,79,65,58.540584213005594,2024
060290045002,2116,321,70662.0,13547.0,592,81,491,69,79,39.97499218261337,2024
060290046011,3334,115,,,0,14,0,14,9,49.1121166312347,2024
060290046031,3179,116,,,0,14,0,14,13,46.411205543489174,2024
060290046051,724,572,,,177,93,177,93,104,87.12634503983281,2024
060290046052,2950,803,102008.0,14970.0,751,205,696,205,181,86.07554821202127,2024
060290046061,2642,481,57850.0,24868.0,622,115,609,113,296,98.14784765851975,2024
060290046062,9,7,,,0,14,0,14,0,48.49742261192856,2024
060290046071,1201,673,66063.0,33934.0,311,171,269,157,121,88.19863944528849,2024
060290046072,2267,638,63214.0,12903.0,572,150,572,150,251,136.6491858739012,2024
