h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8929ac4897bffff,Southland R.V. Park W 19,,110.5,8.84,318.0,routed,303.0,approach-review
8929ac489a3ffff,Southland R.V. Park W 46,,122.5,9.8,209.0,routed,665.0,approach-review
8929ac489a7ffff,Southland R.V. Park W 52,,124.8,9.98,775.0,routed,535.0,approach-review
8929ac489abffff,Southland R.V. Park W 38,,117.8,9.43,665.0,routed,403.0,approach-review
8929ac489afffff,Southland R.V. Park W 44,,121.1,9.69,11.0,routed,336.0,approach-review
8929ac489b7ffff,Southland R.V. Park W 54,,128.2,10.25,365.0,routed,814.0,approach-review
8929ac489cbffff,Southland R.V. Park SW 5,,122.6,9.81,575.0,routed,206.0,approach-review
8929ac489cfffff,Southland R.V. Park W 22,,123.1,9.85,412.0,routed,508.0,approach-review
8929ac48a37ffff,Southland R.V. Park NE,,103.3,8.27,226.0,routed,156.0,approach-review
8929ac48a6fffff,Southland R.V. Park NE 5,,106.1,8.49,501.0,routed,134.0,approach-review
8929ac48aa7ffff,Southland R.V. Park SE,,104.7,8.38,0.0,routed,345.0,approach-review
8929ac48aafffff,Southland R.V. Park E,,106.8,8.54,1074.0,routed,200.0,approach-review
8929ac48b03ffff,Southland R.V. Park NW 6,,99.8,7.98,1465.0,routed,131.0,approach-review
8929ac48b07ffff,Southland R.V. Park NW 9,,94.4,7.55,1599.0,routed,121.0,approach-review
8929ac48b0bffff,Southland R.V. Park NW 5,,84.6,6.77,503.0,routed,26.0,network-estimate
8929ac48b0fffff,Southland R.V. Park NW 8,,95.0,7.6,1276.0,routed,146.0,approach-review
8929ac48b13ffff,Southland R.V. Park NW 4,,102.5,8.2,292.0,routed,275.0,approach-review
8929ac48b17ffff,Southland R.V. Park NW 7,,99.0,7.92,1059.0,routed,44.0,network-estimate
8929ac48b1bffff,Southland R.V. Park NW 3,,88.2,7.05,149.0,routed,198.0,approach-review
8929ac48b23ffff,Southland R.V. Park NW 15,,91.1,7.29,1367.0,routed,153.0,approach-review
8929ac48b27ffff,Village at Lakeside SW 17,,89.0,7.12,1741.0,routed,170.0,approach-review
8929ac48b2bffff,Village at Lakeside S 10,,85.0,6.8,1331.0,routed,66.0,network-estimate
8929ac48b2fffff,Village at Lakeside SW 13,,90.2,7.21,1710.0,routed,138.0,approach-review
8929ac48b33ffff,Southland R.V. Park NW 13,,96.9,7.75,1395.0,routed,50.0,network-estimate
8929ac48b37ffff,Southland R.V. Park NW 16,,93.5,7.48,1394.0,routed,185.0,approach-review
8929ac48b3bffff,Southland R.V. Park NW 12,,89.8,7.19,1863.0,routed,97.0,network-estimate
8929ac48b47ffff,Southland R.V. Park N 4,,82.5,6.6,1139.0,routed,147.0,approach-review
8929ac48b4bffff,Southland R.V. Park N 5,,89.0,7.12,1490.0,routed,111.0,approach-review
8929ac48b4fffff,Southland R.V. Park N 6,,82.4,6.59,1282.0,routed,146.0,approach-review
8929ac48b57ffff,Southland R.V. Park N 3,,86.1,6.89,1416.0,routed,107.0,approach-review
8929ac48b63ffff,Village at Lakeside S 9,,75.6,6.04,870.0,routed,195.0,approach-review
8929ac48b67ffff,Village at Lakeside S 8,,87.1,6.96,625.0,routed,317.0,approach-review
8929ac48b6bffff,Village at Lakeside S 7,,75.8,6.06,1584.0,routed,213.0,approach-review
8929ac48b6fffff,Village at Lakeside S 6,,78.1,6.25,36.0,routed,397.0,approach-review
8929ac48b73ffff,Southland R.V. Park N 7,,86.2,6.9,92.0,routed,152.0,approach-review
8929ac48b77ffff,Southland R.V. Park NW 11,,92.9,7.43,713.0,routed,194.0,approach-review
8929ac48b7bffff,Southland R.V. Park N 8,,76.7,6.14,975.0,routed,133.0,approach-review
8929ac48b83ffff,Southland R.V. Park W 4,,106.9,8.55,381.0,routed,262.0,approach-review
8929ac48b87ffff,Southland R.V. Park W 7,,107.8,8.62,394.0,routed,140.0,approach-review
8929ac48b8bffff,Southland R.V. Park W 3,,99.7,7.97,257.0,routed,87.0,network-estimate
8929ac48b8fffff,Southland R.V. Park W 5,,104.9,8.39,80.0,routed,105.0,approach-review
8929ac48b97ffff,Southland R.V. Park W 6,,110.7,8.86,0.0,routed,429.0,approach-review
8929ac48b9bffff,Southland R.V. Park W 2,,103.0,8.24,352.0,routed,242.0,approach-review
8929ac48ba3ffff,Southland R.V. Park W 12,,102.5,8.2,446.0,routed,236.0,approach-review
8929ac48ba7ffff,Southland R.V. Park W 17,,101.4,8.11,1818.0,routed,144.0,approach-review
8929ac48babffff,Southland R.V. Park NW 10,,102.8,8.22,1407.0,routed,92.0,network-estimate
8929ac48bafffff,Southland R.V. Park NW 14,,98.9,7.91,1151.0,routed,75.0,network-estimate
8929ac48bb3ffff,Southland R.V. Park W 10,,108.1,8.65,305.0,routed,155.0,approach-review
8929ac48bb7ffff,Southland R.V. Park W 15,,104.9,8.39,1143.0,routed,168.0,approach-review
8929ac48bbbffff,Southland R.V. Park W 8,,104.9,8.39,171.0,routed,144.0,approach-review
8929ac48bc3ffff,Southland R.V. Park NW,,95.5,7.64,369.0,routed,45.0,network-estimate
8929ac48bc7ffff,Southland R.V. Park NW 2,,92.8,7.42,170.0,routed,189.0,approach-review
8929ac48bcbffff,Southland R.V. Park N,,100.5,8.04,0.0,routed,196.0,approach-review
8929ac48bcfffff,Southland R.V. Park N 2,,91.0,7.28,521.0,routed,152.0,approach-review
8929ac48bd3ffff,Southland R.V. Park SW,,100.6,8.05,148.0,routed,198.0,approach-review
8929ac48bd7ffff,Southland R.V. Park W,,100.7,8.06,333.0,routed,212.0,approach-review
8929ac48bdbffff,Southland R.V. Park,,101.7,8.14,269.0,routed,69.0,network-estimate
8929ac49183ffff,Weedpatch,,69.9,5.59,714.0,routed,575.0,approach-review
8929ac49187ffff,Weedpatch SW 2,,68.4,5.47,299.0,routed,455.0,approach-review
8929ac49193ffff,Weedpatch SW 4,,69.2,5.53,340.0,routed,818.0,approach-review
8929ac49197ffff,Weedpatch SW 5,,72.6,5.81,11.0,routed,792.0,approach-review
8929ac491a3ffff,Weedpatch SW,,68.6,5.49,0.0,routed,698.0,approach-review
8929ac491b3ffff,Weedpatch SW 3,,70.1,5.61,0.0,routed,588.0,approach-review
8929ac491b7ffff,Weedpatch SW 6,,71.5,5.72,0.0,routed,930.0,approach-review
8929ac49507ffff,Weedpatch S,,87.7,7.02,254.0,routed,678.0,approach-review
8929ac49523ffff,Weedpatch SW 16,,78.9,6.31,69.0,routed,966.0,approach-review
8929ac49527ffff,Weedpatch SW 17,,80.8,6.46,0.0,routed,1118.0,approach-review
8929ac4952bffff,Weedpatch SW 8,,72.1,5.77,311.0,routed,1051.0,approach-review
8929ac4952fffff,Weedpatch SW 9,,75.8,6.07,40.0,routed,1068.0,approach-review
8929ac49533ffff,Weedpatch SW 23,,92.1,7.36,97.0,routed,1027.0,approach-review
8929ac49537ffff,Weedpatch SW 24,,85.2,6.81,0.0,routed,1292.0,approach-review
8929ac4953bffff,Weedpatch SW 15,,78.5,6.28,283.0,routed,937.0,approach-review
8929ac495a7ffff,Weedpatch SW 38,,99.5,7.96,0.0,routed,823.0,approach-review
8929ac495abffff,Weedpatch SW 29,,91.6,7.33,125.0,routed,990.0,approach-review
8929ac495afffff,Weedpatch SW 30,,95.5,7.64,0.0,routed,502.0,approach-review
8929ac49803ffff,Historic Vineyard Apartments W 7,,62.8,5.02,0.0,routed,1134.0,approach-review
8929ac49807ffff,Historic Vineyard Apartments W 14,,66.4,5.32,304.0,routed,1122.0,approach-review
8929ac4980bffff,Historic Vineyard Apartments W 3,,58.5,4.68,340.0,routed,790.0,approach-review
8929ac4980fffff,Historic Vineyard Apartments W 9,,62.5,5.0,315.0,routed,1113.0,approach-review
8929ac49813ffff,Historic Vineyard Apartments W 5,,61.5,4.92,0.0,routed,1018.0,approach-review
8929ac49817ffff,Historic Vineyard Apartments W 12,,67.5,5.4,0.0,routed,1205.0,approach-review
8929ac4981bffff,Historic Vineyard Apartments W,,59.8,4.78,0.0,routed,894.0,approach-review
8929ac49827ffff,Historic Vineyard Apartments W 28,,95.9,7.67,0.0,routed,962.0,approach-review
8929ac49833ffff,Historic Vineyard Apartments W 20,,70.4,5.63,351.0,routed,932.0,approach-review
8929ac49837ffff,Historic Vineyard Apartments W 27,,93.8,7.5,0.0,routed,797.0,approach-review
8929ac49883ffff,Historic Vineyard Apartments W 13,,57.8,4.62,0.0,routed,719.0,approach-review
8929ac49887ffff,Historic Vineyard Apartments W 17,,70.3,5.63,0.0,routed,616.0,approach-review
8929ac4988bffff,Historic Vineyard Apartments W 6,,55.2,4.41,0.0,routed,913.0,approach-review
8929ac4988fffff,Historic Vineyard Apartments W 11,,61.0,4.88,0.0,routed,981.0,approach-review
8929ac49893ffff,Historic Vineyard Apartments W 15,,56.1,4.48,372.0,routed,582.0,approach-review
8929ac49897ffff,Historic Vineyard Apartments W 19,,66.4,5.31,0.0,routed,302.0,approach-review
8929ac4989bffff,Historic Vineyard Apartments W 8,,52.7,4.21,0.0,routed,713.0,approach-review
8929ac498a3ffff,Historic Vineyard Apartments W 23,,77.6,6.21,0.0,routed,1114.0,approach-review
8929ac498a7ffff,Southland R.V. Park E 15,,86.5,6.92,0.0,routed,760.0,approach-review
8929ac498abffff,Historic Vineyard Apartments W 18,,70.9,5.67,0.0,routed,972.0,approach-review
8929ac498afffff,Historic Vineyard Apartments W 25,,90.2,7.21,267.0,routed,1057.0,approach-review
8929ac498b3ffff,Historic Vineyard Apartments W 22,,72.1,5.77,0.0,routed,758.0,approach-review
8929ac498b7ffff,Historic Vineyard Apartments W 29,,78.4,6.27,0.0,routed,920.0,approach-review
